"列表对象的排序方法sort____只能按元素从小到大排列,不支持别的排序方式。",False
"形参可以看做是函数内部的局部变量,函数运行结束之后形参就不可访问了",True
"一个函数如果带有默认值参数,那么必须所有参数都设置默认值。",False
表达式 ‘a’+1的值为’b’,False
"已知x为非空列表,那么执行语句x[0] = 3之后,列表对象x的内存地址不变",True
在Python 3.x中可以使用中文作为变量名,True
Python集合中的元素可以是元组。,True
在函数内部直接修改形参的值并不影响外部实参的值,True
"在定义函数时,某个参数名字前面带有一个符号表示可变长度参数,可以接收任意多个普通实参并存放于一个元组之中。（接收多个参数，用的是p，而不是p*（这个表示的是乘））",True
"定义函数时,即使该函数不需要接收任何参数,也必须保留一对空的圆括号来表示这是一个函数",True
运算符 / 在Python 2.x和Python 3.x中具有相同的功能,False
"已知列表 x = [1, 2, 3],那么执行语句 x = 3 之后,变量x的地址不变",False
Python中定义函数时不需要声明函数参数的类型,True
表达式 {}==None 的值为True,False
在Windows平台上编写的Python程序无法在Unix平台运行,False
"在定义函数时,某个参数名字前面带有两个*符号表示可变长度参数,可以接收任意多个关键参数并将其存放于一个字典之中",True
"对于数字n，如果表达式 0 not in [n%d for d in range(2, n)] 的值为True则说明n是素数",True
"调用带有默认值参数的函数时,不能为默认值参数传递任何值,必须使用函数定义时设置的默认值。",False
"已知x是个列表对象,那么执行语句y = x[:]之后,对y所做的任何操作都会同样作用到x上。",False
可以使用del删除集合中的部分元素,False
Python字符串方法replace____对字符串进行原地修改,False
"Python不允许使用关键字作为变量名,允许使用内置函数名作为变量名,但这会改变函数名的含义。",True
"在Python 3.x中,使用内置函数input____接收用户输入时,不论用户输入的什么格式,一律按字符串进行返回",True
"在Python中,变量不直接存储值,而是存储值的引用,也就是值在内存中的地址",True
"已知x = {1:1, 2:2},那么语句x[3] =3无法正常执行",False
